file,time_sec,activation,above_threshold
Prime_Suspect_024212_2MIN.wav,21.2,0.3139,0.0014
Prime_Suspect_024212_2MIN.wav,23.3,0.3134,0.0009
Prime_Suspect_024212_2MIN.wav,24.6,0.3135,0.001
Prime_Suspect_024212_2MIN.wav,38.7,0.3144,0.002
Prime_Suspect_024212_2MIN.wav,42.7,0.3131,0.0006
Prime_Suspect_024212_2MIN.wav,45.1,0.3141,0.0016
Prime_Suspect_024212_2MIN.wav,48.6,0.3132,0.0007
Prime_Suspect_024212_2MIN.wav,48.9,0.3133,0.0008
Prime_Suspect_024212_2MIN.wav,49.1,0.3128,0.0003
Prime_Suspect_024212_2MIN.wav,50.8,0.316,0.0035
Prime_Suspect_024212_2MIN.wav,52.0,0.3142,0.0017
Prime_Suspect_024212_2MIN.wav,52.3,0.3141,0.0016
Prime_Suspect_024212_2MIN.wav,54.2,0.3147,0.0022
Prime_Suspect_024212_2MIN.wav,54.4,0.3125,0.0
Prime_Suspect_024212_2MIN.wav,58.4,0.3131,0.0006
Prime_Suspect_024212_2MIN.wav,59.3,0.3135,0.001
Prime_Suspect_024212_2MIN.wav,60.9,0.3149,0.0024
Prime_Suspect_024212_2MIN.wav,63.8,0.3127,0.0002
Prime_Suspect_024212_2MIN.wav,65.5,0.3145,0.002
Prime_Suspect_024212_2MIN.wav,72.0,0.315,0.0025
Prime_Suspect_024212_2MIN.wav,75.0,0.3141,0.0016
Prime_Suspect_024212_2MIN.wav,75.2,0.3154,0.0029
Prime_Suspect_024212_2MIN.wav,76.1,0.3128,0.0004
Prime_Suspect_024212_2MIN.wav,76.5,0.3134,0.0009
Prime_Suspect_024212_2MIN.wav,76.9,0.3126,0.0002
Prime_Suspect_024212_2MIN.wav,78.1,0.3144,0.0019
Prime_Suspect_024212_2MIN.wav,78.4,0.3153,0.0028
Prime_Suspect_024212_2MIN.wav,79.1,0.3128,0.0003
Prime_Suspect_024212_2MIN.wav,79.8,0.3129,0.0004
Prime_Suspect_024212_2MIN.wav,80.5,0.3131,0.0006
Prime_Suspect_024212_2MIN.wav,81.8,0.3126,1e-04
Prime_Suspect_024212_2MIN.wav,82.6,0.3134,0.0009
Prime_Suspect_024212_2MIN.wav,83.6,0.3145,0.0021
Prime_Suspect_024212_2MIN.wav,84.5,0.3129,0.0004
Prime_Suspect_024212_2MIN.wav,85.0,0.3138,0.0013
Prime_Suspect_024212_2MIN.wav,85.2,0.3132,0.0007
Prime_Suspect_024212_2MIN.wav,85.7,0.3126,1e-04
Prime_Suspect_024212_2MIN.wav,86.5,0.314,0.0015
Prime_Suspect_024212_2MIN.wav,86.9,0.3181,0.0056
Prime_Suspect_024212_2MIN.wav,87.2,0.3141,0.0016
Prime_Suspect_024212_2MIN.wav,87.3,0.3138,0.0014
Prime_Suspect_024212_2MIN.wav,87.4,0.3129,0.0004
Prime_Suspect_024212_2MIN.wav,87.5,0.3138,0.0013
Prime_Suspect_024212_2MIN.wav,88.0,0.3169,0.0044
Prime_Suspect_024212_2MIN.wav,88.1,0.3169,0.0044
Prime_Suspect_024212_2MIN.wav,89.3,0.3135,0.001
Prime_Suspect_024212_2MIN.wav,89.4,0.3127,0.0002
Prime_Suspect_024212_2MIN.wav,89.5,0.3131,0.0006
Prime_Suspect_024212_2MIN.wav,90.0,0.3137,0.0013
Prime_Suspect_024212_2MIN.wav,90.0,0.313,0.0005
Prime_Suspect_024212_2MIN.wav,90.1,0.3126,1e-04
Prime_Suspect_024212_2MIN.wav,90.4,0.3127,0.0002
Prime_Suspect_024212_2MIN.wav,90.9,0.3128,0.0003
Prime_Suspect_024212_2MIN.wav,91.7,0.3126,1e-04
Prime_Suspect_024212_2MIN.wav,92.4,0.3137,0.0012
Prime_Suspect_024212_2MIN.wav,92.5,0.3143,0.0018
Prime_Suspect_024212_2MIN.wav,92.8,0.3143,0.0018
Prime_Suspect_024212_2MIN.wav,94.4,0.3125,0.0
Prime_Suspect_024212_2MIN.wav,94.6,0.3134,0.0009
Prime_Suspect_024212_2MIN.wav,94.6,0.313,0.0005
Prime_Suspect_024212_2MIN.wav,95.5,0.3144,0.0019
Prime_Suspect_024212_2MIN.wav,96.3,0.3169,0.0044
Prime_Suspect_024212_2MIN.wav,99.6,0.314,0.0015
Prime_Suspect_024212_2MIN.wav,105.5,0.3134,0.0009
Prime_Suspect_024212_2MIN.wav,105.7,0.3125,1e-04
Prime_Suspect_024212_2MIN.wav,106.8,0.3132,0.0007
Prime_Suspect_024212_2MIN.wav,107.2,0.314,0.0015
Prime_Suspect_024212_2MIN.wav,107.3,0.3131,0.0006
Prime_Suspect_024212_2MIN.wav,107.3,0.313,0.0005
Prime_Suspect_024212_2MIN.wav,107.4,0.3132,0.0007
Prime_Suspect_024212_2MIN.wav,107.4,0.3137,0.0012
Prime_Suspect_024212_2MIN.wav,107.6,0.3138,0.0013
Prime_Suspect_024212_2MIN.wav,107.7,0.3125,0.0
Prime_Suspect_024212_2MIN.wav,107.9,0.3177,0.0052
Prime_Suspect_024212_2MIN.wav,109.8,0.3128,0.0003
Prime_Suspect_024212_2MIN.wav,114.1,0.3142,0.0017
Prime_Suspect_024212_2MIN.wav,116.1,0.3147,0.0022
Prime_Suspect_024212_2MIN.wav,116.5,0.3143,0.0018
Prime_Suspect_024212_2MIN.wav,116.6,0.3167,0.0042
Prime_Suspect_024212_2MIN.wav,117.4,0.3127,0.0003
Prime_Suspect_024212_2MIN.wav,119.3,0.3131,0.0007
Prime_Suspect_024212_2MIN.wav,119.6,0.3137,0.0012
Distress_Event_1_023810_2MIN.wav,1.4,0.3175,0.0004
Distress_Event_1_023810_2MIN.wav,20.2,0.3174,0.0004
Distress_Event_1_023810_2MIN.wav,43.8,0.3171,1e-04
Distress_Event_1_023810_2MIN.wav,56.0,0.3173,0.0002
Distress_Event_1_023810_2MIN.wav,59.0,0.3181,0.001
Distress_Event_1_023810_2MIN.wav,104.2,0.3174,0.0003
